Fecha,DescripcionTrabajo,salario,pais,NombreEmpresa,Modalidad,Plataforma,PuestoTrabajo
2023-01-15,"
KLAP (ex Multicaja) empresa que ha innovado en las transacciones electrónicas, modernizando pagos y transacciones que se realizan en todo Chile, te invita a ser parte de nosotros y desempeñarte como Data Analyst para nuestra Gerencia de Retail Ven y únete a un equipo dinámico, en constante desafío e innovación, siendo importante tu talento y su crecimiento en un espacio de respeto, transparencia y con altos objetivos, lugar donde una de nuestras preocupaciones es la equidad de género e inclusión a la discapacidad en la conformación de nuestra empresa.”Principal desafío Generación de data, reportes y análisis de dato para la toma de decisiones estratégica de la gerencia.Actividades a realizar: Generar reportes en Tableau para poder seguir las principales métricas de negocio para el seguimiento de los KPI´sGenerar insights y conclusiones para la toma de decisiones en base a la estrategia de negocios de Klap.Visualizar y esquematizar los datos así facilitar la comprensión de la toma de decisiones del área de negocios de Klap.Trabajar en conjunto con otras verticales de negocio para la obtención e interpretación de la data.Explotar la información para la generación de análisis usando estadística descriptiva y generar modelos predictivos básicos que permitan poder gestionar proactivamente la cartera de clientes.Requisitos del cargo:Título profesional de Ingeniería Civil Industrial, Ingeniería Industrial, Ingeniería Civil informático o Ingeniero estadístico, o carreras afines.Al menos 2 años de experiencia en áreas de datos, BI, Gestión de negocios orientado a la medición de KPIs.Conocimientos:Análisis de Datos - Alto.Transact SQL Nivel Intermedio (Sql server, Postgres, Mysql o similar).Python Intermedio-Avanzado (Librerias: Pandas, Numpy u otras similares).Excel - Avanzado.Power Point /Word – Avanzado.Tableau o similar, Nivel Intermedio - Avanzado.Inglés Intermedio.Nuestra modalidad de trabajo es híbrida con un mínimo de 2 días presencial ¡Ven y únete a Klap, somos un equipo en constante crecimiento!
",,CL,Klap,,linkedin,data analyst
2022-12-27,"
Falabella Financiero está buscando Talento: Data Analyst para unirse al equipo.💥¿Cuál será tu principal misión?💥Levantamiento de data para maximizar el valor generado en el negocio a partir del uso de big data en la toma decisiones.🔎¿Qué tendrás que realizar? ✍️Gestionar y coordinar con otros equipos para conseguir data necesaria.Trabajar de manera ágil en conjunto al negocio para identificar oportunidades de mejora con Big Data.Estructurar problemáticas de negocio: descomponer el problema, identificar y proponer análisis para abordar su solución y los datos y recursos requeridos.Diseñar y desarrollar dashboards y/o presentaciones que permitan comunicar de manera efectiva los hallazgos de los análisis.Traducir requerimientos y necesidades del negocio hacia el backlog de los productos de datos (características, visión, historias de usuario, etc.).¿Con qué necesitas contar? 👍Desde 2 años de experiencia en cargo similar como data analyst/ business analyst/ BI analyst o similar.Manejo y experiencia en SQL (avanzado).Conocimiento en herramientas de visualización (Tableau, Looker, Data Studio).Deseable conocimiento en herramientas de gestión de proyectos ágiles (JIRA, Asana o similar) y conocimientos de SCRUM.Deseable conocimiento de soluciones cloud (GCP, AWS, Azure).¡Ven a vivir una gran experiencia junto a nosotros/as!Somos una empresa que apoya la Ley 21015, apoyamos la diversidad y la inclusión en todas sus formas, sin importar religión, raza, género, situación de discapacidad, nacionalidad.
",,CL,Banco Falabella Chile,,linkedin,data analyst
2023-01-12,"
Equifax es donde podes potenciar tus posibilidades. Si quieres alcanzar tu máximo potencial, liderar nuevos caminos y desarrollar nuevas habilidades, colaborar con mentes brillantes y tener un impacto significativo, aqueremos escuchar de vos.Sinopsis del rol: El Data Analyst Finance que tendrá base en Chile, trabajará con profesionales de datos y analisis, ventas, IT y clientes para diseñar, documentar, probar y respaldar la construcción de soluciones visuales de datos internas y orientadas al cliente que cuenten la historia de conocimientos deseada. Creará visualizaciones y análisis informativos para presentaciones hacia clientes internos o externos utilizando Spotfire y/u otras tecnologías de visualización de código abierto, también creará esquemas y maquetas de tableros e informes según sea necesario para comunicar la visualización/funcionalidad internamente y a los clientes.¿Cuáles son las funciones?⦁ Escribirá consultas SQL para combinar varios activos de datos para extraer información relevante⦁ Realizarará análisis de datos para encontrar tendencias y conocimientos que demuestren el valor de las soluciones de Equifax interna y externamente⦁ Creará y actualizará paneles visuales/informes de BI utilizando datos de crédito y activos de datos alternativos de Equifax⦁ Colaborará con científicos de datos y consultores analíticos para ejecutar proyectos analíticos que demuestren el valor de los activos de datos de Equifax⦁ Automatizará los procesos de datos para la entrega de informes recurrentes¿Qué experiencia necesitas?⦁ Licenciatura o superior en Business Analytics, Matemáticas, Estadística, MIS, Economía u otras disciplinas cuantitativas⦁ 1+ años de experiencia con análisis de datos⦁ Más de 1 año de experiencia en el uso de SQL o Python en un entorno de base de datos⦁ Experiencia práctica en limpieza de datos, análisis de datos y posterior visualización y análisis de datos.⦁ Experiencia con una herramienta de visualización como Spotfire o Tableau⦁ Algo de experiencia con HTML, CSS, JS, R¿Qué podría diferenciarte?⦁ Maestría o superior en Business Analytics, Matemáticas, Estadística, MIS, Economía u otras disciplinas cuantitativas⦁ Experiencia en Servicios Financieros es un plus⦁ Experiencia con big data y Google Cloud es una ventaja⦁ Habilidades interpersonales⦁ Inglés intermedioOfrecemos paquetes integrales de compensación, oportunidades de crecimiento y entrenamientos a través de nuestra plataforma de aprendizaje en línea con trayectorias profesionales guiadas. Si esto suena como un lugar donde deseas trabajar, no te demores y postúlate hoy, ¡Te estamos buscando!Todos los solicitantes calificados serán considerados para el empleo sin distinción de raza, color, religión, sexo, orientación sexual, identidad de género, origen nacional, discapacidad o condición de veterano protegido.
",,CL,Equifax,,linkedin,data analyst
2023-01-04,"
At Deloitte, you will find an intellectually challenging, diverse, inclusive, and committed to its environment, which will enhance the professional path you wish to take today.With a multidisciplinary team and a global network of experts who share the best practices and experiences in the market, Deloitte stands out for delivering a service of excellence, connected to the latest trends, offering its employees a unique learning space where leadership is encouraged at all levels.We are looking for the best Data Analyst, with solid knowledge analyzing large datasets, to work as a Consultant in our Forensic Financial Crime team in Financial Advisory.The Financial Crime landscape is continuously evolving and becoming increasingly complex for our clients to manage. Rapidly emerging fraud vectors, cyber-attack typologies, increasing money laundering risks and regulatory pressures leave our clients struggling to respond in a nimble and effective manner, as they battle siloed systems and organizational structures. What will your typical day look like? Generate analytics insights from analyzing large datasets including financial and non-financial data, developing models and analytics tests and visualizing dataWork in a collaborative team environment analyzing client issues and participate in client presentationsLiaise with client executives, lawyers and financial professionals as requiredAssist in different areas of project management, including client engagements and internal initiativesPrioritize engagement activities and contribute to project planning and status reportingAbout the team Deloitte helps our clients protect their brand and reputation by proactively advising on their exposure to fraud, corruption and other financial crime issues. Drawing on our global network of seasoned investigators, intelligence analysts, technologists and advanced analytics capabilities, we can quickly and efficiently gain an understanding of our clients’ various financial crime exposures. We provide expert advice and solutions to address our clients’ financial crime management needs across the organization.Enough about us, let’s talk about you Deloitte Financial Crime Analytics practice uses a broad stack of analytics and data technologies. As a Data Analyst, you will be working on the creation of financial crime analytics insights during our client engagements leveraging the following:· Analytics – SQL· Data preparation and modeling – SSIS, T-SQL, Alteryx· Visualization – Tableau OR Power BI· Data management system – SQL Server OR Hadoop Hive You also have:Completed a bachelor’s degree or master’s degree preferably in a quantitative discipline such as: Mathematics, Statistics, Engineering, Computer Science, Quantitative Finance1-5 years of professional work experience in consulting or analytics, preferably related to financial crime1-5 years of experience querying and analyzing large data sets in SQLProven experience with T-SQL and Alteryx for data transformation and solutioningExperience designing dashboards in Tableau or PowerBI to deliver analytical insightsProven experience creating PowerPoint decks and giving presentations to executives and stakeholdersProject management experience including budgeting, activity tracking and stakeholder communication Why Deloitte? Launch your career with The One Firm where you can make an impact that matters in a way that you never thought possible. With endless opportunities at every turn, and a culture built to support and develop our people to be the very best they can be, Deloitte is The One Firm for you to learn, grow, create, connect, and lead. We do this by making three commitments to you:You will lead at every level: We grow the world’s best leaders so you can achieve the impact you seek, faster.You can work your way: We give you the means to be flexible in how you need and want to work, and we have innovative spaces, arrangements and the mindset to help you be wildly successful. You will feel included and inspired: We create a deep sense of belonging where you can bring your whole self to work. What impact do you want to make?Our job offers are open to all those who, within the framework of the Inclusion Law, want to be part of this great Firm, contributing with their different skills and strengths, both human and professional.
",,CL,Deloitte,,linkedin,data analyst
2023-01-19,"
En AD Retail, nos encontramos en búsqueda de nuevos talentos para incorporarse en diversos desafíos y aventuras. Somos un retail especialista excepcional con presencia a nivel nacional, con sucursales de Arica a Punta Arenas. ¡Estamos transformando nuestro mercado digital y queremos que tú seas parte de esta iniciativa con nosotros! Buscamos un Analista de Datos para nuestra área de Operaciones Retail Financiero para trabajar por un proyecto.EL PROPÓSITO DEL CARGO ES:Recopilar datos mediante la preparación de estos (muestreo, limpieza, clasificación, filtros), buscando patrones en conjuntos de información, con la finalidad de analizar y generar informes para la comprensión expedita de los resultados y tendencias futuras.¿CUÁLES SON SUS PRINCIPALES RESPONSABILIDADES?Captar datos de fuentes de datos primarias o secundarias y mantener las bases de datos actualizadas.Desarrollar e implementar bases de datos, sistemas de recopilación de datos, analítica de datos y otras estrategias que optimicen la eficiencia estadística y la calidadGenerar planes de rendimiento y control de calidad identificando las mejoras en conjunto con la toma de decisiones.Comunicar resultados de los análisis estadísticos y de los modelos.Entre otras.¿QUÉ ESPERAMOS DE TI?Licenciatura en Ingeniería en Ciencia de Datos / Data Science / Técnico en Análisis de Datos / Ingeniería Control de Gestión.Manejo avanzado de SQL y GCPConocimientos medio/ avanzados en herramienta de Inteligencia de Negocios (R, Tableau, entre otras)Experiencia en creación de paneles de información en Datastudio de GCPDisponibilidad para trabajar por un proyecto de 1 año aproximadamente.¡Ven y postula! #SomosAbcdin
",,CL,ABCDIN,,linkedin,data analyst
2023-01-18,"
        Company Description: Trebol IT Job Description: ¡Eres el talento que buscamos! Únete a una empresa que lleva 30 años en la industria tecnológica entregando soluciones informáticas integrales. Serás parte de un equipo orientado a la innovación y transformación, respaldado por nuestra gran experiencia y conocimiento en la industria TI. Si eres responsable, colaborativo, transparente, apasionado y tu trabajo es de excelencia ya puede formar parte de nuestra familia Trebol. ¡Esta es tu oportunidad! En Trebol IT nos encontramos en búsqueda de un Data Analyst para trabajar con nosotros. Requisitos:Qlik SeneQlik Cloud En Trebol IT nos enfocamos constantemente en el desarrollo de nuestros profesionales. Disfrutaras de diversos beneficios, como: Grato ambiente laboral Capacitaciones de nuevas tecnologías Crecimiento Profesional Estabilidad laboral Diversidad de horarios Flexibilidad de vestimenta Seguro Complementario de salud Seguro Covid Convenios con Gimnasio, clínica dental, ópticas, Caja los Andes, academia de inglés, entre otros. Actividades extra-programáticas Medios días administrativos El desafío que buscas está aquí, ¡Ven a descubrirlo!
",,CL,Trebol - IT,,linkedin,data analyst
2022-11-10,"
⭐¡El próximo Analista SQL de Apiux podrías ser tú!Apiux es una empresa tecnológica especializada en apoyar a organizaciones de todas las industrias en su proceso de transformación digital. Nuestro foco son las tecnologías Cloud, la automatización de procesos y la gestión documental. Estamos presentes en Chile, Perú, Colombia, España y nos seguimos expandiendo.🚀 Lo que buscamos en ti:-Trabajo en equipo-Seguimiento-Capacidad analítica-Mejoras de automatización de procesos, integración.-Forma optima de administrar las bases-Construir el modelo🚀Estudios Académicos:-Profesional titulado en ing. informatica/Ing. Industrial carrera a fin🚀Experiencia:1 años o mas años de experiencia🚀¿Qué tienes que saber a nivel técnico?-2 años de experiencia-Conocimientos, sql, python🚀Beneficios de trabajar en Apiux:- Día de tu cumpleaños libre.- Bonos por nacimiento, matrimonio y aguinaldos en diciembre y septiembre.- Happy Points, un sistema de puntos que puedes canjear por días libres.- Seguro complementario de salud, seguro dental y seguro de vida.- Convenios con:- Coopeuch y Banco de Chile- Open English- Muncho AchsSi cumples con perfil no dudes en postular!
",,CL,Apiux Tecnología,,linkedin,data analyst
2022-11-12,"
        NeuralWorks es una compañia de alto crecimiento fundada hace menos de 1 año. Estamos trabajando a toda maquina en cosas que darán que hablar.Somos un equipo donde se unen la creatividad, curiosidad y la pasión por hacer las cosas bien. Nos arriesgamos a explorar fronteras donde otros no llegan: un modelo predictor basado en monte carlo, una red convolucional para detección de caras, un sensor de posición bluetooth, la recreación de un espacio acústico usando finite impulse response.Estos son solo algunos de los desafíos, donde aprendemos, exploramos y nos complementamos como equipo para lograr cosas impensadas.Trabajamos en proyectos propios y apoyamos a corporaciones en partnerships donde codo a codo combinamos conocimiento con creatividad, donde imaginamos, diseñamos y creamos productos digitales capaces de cautivar y crear impacto.👉 Conoce mas sobre nosotros Descripción del trabajoLa posición de data analyst se enmarca dentro del trabajo junto a un cliente de la industria aeronáutica para llevar el desempeño operacional y de seguridad al siguiente nivel a través de la explotación de grandes volúmenes de datos de vuelo registrados por miles de sensores en aviones comerciales que monitorean el estado de operación cada segundo.El objetivo es resolver problemas operacionales junto a expertos, ingenieros de operaciones y pilotos especializados, convirtiendo información ambigua y problemas no estructurados en insights y recomendaciones a través del uso de datos complejos, en un entorno que evoluciona permanentemente.Tu trabajo variará de proyecto a proyecto, pero siguiendo una estructura similarFamiliarizarte con el problema junto a expertos, recabar información, opiniones y factsInvestigar las mejores prácticas de la industriaDefinirás una hipótesis de trabajo y un approach técnico para resolver el problema, incluyendo el set de datos a utilizar, periodo de tiempo, lógica de los análisis, grupos de control, entre otrosSeleccionar las fuentes de datos, incluyendo data de los sensores de los aviones, ya sea raw o pre-procesados por otros sistemas, información operacional, meteorológica, etc.Extraer data raw usando templates ya existentes, pero que podrían requerir modificacionesRealizar los cruces de datos requeridos para el análisisDiseñar y ejecutar las queries requeridas, procesar los datos obtenidos para calcular las métricas/características relevantes para el proyectoProbar, descartar o modificar la hipótesis de trabajoPresentar los resultados en forma de presentaciones o usando softwares de visualizaciónMonitorear los resultados y discutirlos junto a expertos o tomadores de decisionesMantener contacto permanente con el grupo de data scientists e ingenieros de machine learning para detectar oportunidades para desarrollar modelos que resuelvan problemas de negocio en este u otros ámbitos Calificaciones ClaveGrado universitario en disciplinas cuantitativas (ej: Ingeniería Civil o Industrial, Ingeniería en Computación, Ingeniería Eléctrica, Ingeniería Comercial, Física, Matemática o Estadística) Experiencia práctica, demostrada, de al menos 2 años en análisis de datos, usando SQL, Python y visualización de datos (ej. Tableau, PowerBI)Experiencia demostrada en análisis de grandes volúmenes de datos y generación de insights relevantesExcelentes habilidades analíticas, de diseño y resolución de problemasBuenas habilidades de colaboración y comunicaciónCapacidad e interés de influenciar equipos cross-funcionales y navegar ambigüedadCapacidad de presentar resultados en forma de presentaciones efectivas que narren una historia a través de datos para influenciar a tomadores de decisionesAlta curiosidad intelectual y obsesiva atención al detalleInglés avanzadoFuerte sentido de responsabilidad e integridad Nice to haveExperiencia demostrada con Google Cloud (particularmente BigQuery, BigTable) y AirflowExperiencia en principios de data mining y queries en datasets grandes y complejos (ej. Hadoop, Spark)Experiencia demostrada con frameworks de datos real time o near real time (Ej: AWS Kinesis, Dataflow, M3 Uber, DVT) BeneficiosMacBook Air M1 o similar (con opción de compra hiper conveniente)Inscripción en Coursera con plan de entrenamiento a medidaFlexibilidad entre oficina y home officeEntorno de trabajo super agradableBono adicional de almuerzo cuando estés en modo presencialFlexible hoursBicycle parkingDigital libraryPerformance bonusInformal dress code¡Intégrate a un equipo de primera!
",,CL,NeuralWorks,,linkedin,data analyst
2023-01-12,"
Quieres ser nuestra/o próxima (o) Analista Senior datosBuscamos profesionales que realicen el correcto y oportuno control y seguimiento de los indicadores de desempeño de riesgo de crédito, a través del diseño y construcción de activos de información (bases de datos, reportes, dashboard) y automatización de procesos de datos y analítica.Serás responsable por mantener fluidamente con el equipo de Políticas y Gestión de Riesgo y estratégico de riesgo, recogiendo nuevas necesidades desde el punto de vista técnico y funcional para el seguimiento y control de riesgo.En tu rol debes integrar y compilar de manera correcta y oportuna los procesos operativos a tu cargo, con las distintas fuentes de información para el calculo de los indicadores de desempeño de la cartera de crédito.Como es el día a día, debes apoyar la automatización de los diferentes procesos del área. Entregar la información para el área de riesgo crédito, Proponer mejoras al modelo de datos de riesgo.y la Generación de Comités e Informe mensual de gestión a partes relacionadas.¿Qué esperamos?A nivel de experiencia: 3 años de experiencia de los cuales al menos 2 deben estar en áreas de riesgo de crédito. Debes contar con experiencia trabajando con integración de datos, gobierno de datos y ciclo de vida de datos.A nivel de conocimientos: SQL y Power BI, como tambien manejo de Python y RA nivel de formación: Ingeniería Informática
",,CL,Entel,,linkedin,data analyst
2023-01-25,"
        Equifax is where you can power your possible. If you want to achieve your true potential, chart new paths, develop new skills, collaborate with bright minds, and make a meaningful impact, we want to hear from you.  What you’ll do?   Write SQL queries to combine various data assets to extract relevant information.  Perform data analyses to find trends and insights that demonstrates the value of Equifax solutions internally and externally.  Create and update visual dashboards/BI reporting using credit data and Equifax’s alternative data assets.  Collaborate with data scientists and analytical consultants to execute on analytical projects that demonstrate the value of Equifax data assets.  Automate data processes for delivery of recurring reports.    What experience you need?   Technical or Bachelor’s degree in Systems, Computer Sciences, Business Analytics, Mathematics, Statistics, MIS, Economics.  1+ years of experience with data analysis.  1+ years of experience using SQL or Python within a database environment.  1+ years of experience with HTML, CSS, JavaScript, R.  Intermediate english    What could set you apart?   Hands-on experience in data cleaning, data analysis and subsequent data visualization and analytics.  Experience with a visualization tool like Spotfire or Tableau.  Experience in Financial Services is a plus.  Experience with big data and Google Cloud is a plus.  Interpersonal skills. We offer comprehensive compensation and healthcare packages, paid time off, and organizational growth potential through our online learning platform with guided career tracks. Are you ready to power your possible? Apply today, and get started on a path toward an exciting new career at Equifax, where you can make a difference! Equifax is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
      ",,CL,Equifax,,linkedin,data analyst
