Fecha,DescripcionTrabajo,salario,pais,NombreEmpresa,Modalidad,Plataforma,PuestoTrabajo
2023-01-11,"
Brindar input de mercado para la toma de decisiones del management, analizando data de mercado a través de la extracción de datos de diversas fuentes y presentando información de valor de forma sencilla con tableros y gráficos estadísticos.FUNCIONES: Obtener y analizar data del mercado, para obtener insigths e identificar perfiles de consumidor, productos, precios y formatos. Obtener y analizar data de las exportaciones regionales para seguimiento de los competidores Realizar informes estadísticos de variables importantes, que ayuden a la toma de decisions. Desarrollo y mantenimiento de plataforma BI basado en información SAP y data externa  REQUISITOS EDUCATION · Graduado en Estadística, Economía, Ingeniería Industrial, entre otras carreras afines.  SPECIALIZATION / CERTIFICATIONS:Lenguaje de programación (deseable)Estadística avanzada. KNOWLEDGES: Inglés intermedioMicrosoft Office avanzadoSAP ERP EXPERIENCE:  GENERAL: 1 año de prácticas preprofesionales en funciones similares.
",,PE,Camposol S. A.,,linkedin,data analyst
2022-12-28,"
¿Buscas ingresar a una empresa transnacional líder en el mercado? ¡Esta es tu oportunidad!Te invitamos a ser parte de nuestro equipo ocupando el cargo de:ANALISTA DE DATOSQUIÉNES SOMOS:Gilat Networks es la red de telecomunicación de mayor alcance a nivel nacional, desde hace más de 18 años llevamos desarrollo a los pueblos y empresas ubicados en las zonas más apartadas del país. Adicionalmente contamos con presencia internacional en 20 países en los 5 continentes.MISIÓN DEL PUESTO:Responsable de liderar el proceso de aseguramiento de la calidad de la información, realizando un seguimiento y control adecuado y realizar las validaciones en todo el proceso de transformación de la información, obteniendo conclusiones y retroalimentación en el proceso, a partir del análisis de data proveniente de diversas fuentes de información.FUNCIONES:-Validar información generada por los sistemas de gestión y los sistemas de reportes.-Controlar y realizar seguimiento de los entregables generados por Operaciones de Red.-Interpretar datos, analizar resultados y generar insights para elaborar conclusiones necesarias para el proceso de toma de decisiones.-Revisar e integrar constantemente la información de los diferentes reportes de avance, analizar la información que permitan identificar problemas y realizar el seguimiento adecuado.-Presentar resultados y trabajar en conjunto con otras áreas para la obtención e interpretación de la data.-Coordinar con las áreas internas y evaluar soluciones y mejoras.-Buscar oportunidades de mejora en el proceso de transformación de la información, revisando, proponiendo y generando procesos y procedimientos.-Gestionar las bases de datos de los entregables y elaborar informes del estado de las actividades.LO QUE NECESITAS SABER:-Modelamiento de Datos y Manejo de Base de Datos: MySQL, MS SQL, MariaDB, entre otros.-Power BI intermedio – avanzado.-Python, R, Sistemas de visualización de datos (deseable).-Conocimiento de Paquete Office a nivel intermedio, Excel avanzado.-Deseables conocimientos en Networking, radioenlaces, fibra óptica.-Inglés técnico en redacción y lectura (deseable).LO QUE NECESITAS TENER:-Egresado o titulado universitario de las carreras de Ingeniería Sistemas, Ingeniería Industrial, Estadística o ramas afines.-Experiencia no menor a 2 años en análisis de datos.-Sólidos conocimientos en análisis de grandes volúmenes de datos.-Experiencia en la elaboración de Reportes y KPIs.
",,PE,Gilat Perú,,linkedin,data analyst
2023-01-12,"
        En TiSmart estamos enteramente comprometidos con el crecimiento de nuestros clientes internos y externos, disfrutamos conceptualizando y desarrollando soluciones innovadoras que agreguen valor sus actividades y procesos.Contamos con un equipo multidisciplinario que nos permite co-crear y construir soluciones tecnológicas con una perspectiva cada vez más amplia. En esta oportunidad, buscamos un/a DATA ANALYSTRequisitosEgresado /a de carreas técnicas o universitarias como ingeniería de Sistemas, Estadística, ingeniería industrial, computación, informática o afinesExperiencia laboral mínima de 2 a 3 añosExperiencia con modelamiento de datosConocimiento SQL a nivel avanzadoConocimiento Tableau a nivel intermedio / avanzado BeneficiosTrabajo 100% remotoHorario de Lunes a Viernes de 8 30 am a 6 30 pm.Acceso a plataformas de cursos virtualesRemuneración acorde al mercadoSer parte de proyectos retadoresÚnete a la familia Tismart!En Tismart respetamos y celebramos la diversidad. Todo nuestro personal tiene la oportunidad de desarrollarse y alcanzar su potencial, sin importar la religión, raza, orientación sexual, expresión e identidad de género, nacionalidad o cualquiera otra diferencia o condición.Somos una empresa que crea soluciones de tecnología de la información innovadoras, que contribuyen al crecimiento y logro de los objetivos de nuestros clientes. Para lograrlo nuestros equipos multidisciplinarios imaginan, diseñan y construyen soluciones tecnológicas de alto valor, orientadas a cubrir necesidades de este tipo, en todos los sectores de la industria, banca y finanzas.Brindamos el soporte tecnológico necesario para que usted se centre en el giro de su negocio. Somos un equipo de apasionados por las tecnologías de información. Disfrutamos conceptualizando y desarrollando soluciones innovadoras que agregan valor al negocio de nuestros clientes. Contamos con un equipo multidisciplinario en el que convergen diversas experiencias que nos permiten imaginar y construir soluciones tecnológicas con una perspectiva cada vez más amplia. Así logramos generar buenas y duraderas relaciones con nuestros clientes, a quienes les brindamos todo el soporte tecnológico ideal, con lo que centran todos sus esfuerzos en el giro de su negocio.
      ",,PE,TiSmart,,linkedin,data analyst
2022-12-19,"
        Descripción del puestoColaborar con las unidades de negocio para identificar y priorizar oportunidades, las cuales serán resueltas utilizando analytics que generen el máximo valor posible.Desarrollar análisis estratégico que permitan identificar oportunidades de mejora en algún proceso de estrategia del producto y/o canal.Elaborar proyecciones y metas de los principales indicadores de negocio que permita mejorar la toma de decisiones.Comunicar insights del negocio derivados del análisis de datos de manera ágil, sencilla y fomentando el autoservicio a partir de buenas visualizaciones.Custodiar la calidad de la información, siendo representante del negocio como parte del gobierno de datos de Pacífico.Participación activa en pilotos de analytics, evaluando resultados y generando recomendaciones.Requisitos Profesionales en las especialidades de Ingeniería de Sistemas, Industrial y/o Estadística. Experiencia mínima de 2 años en Data. Indispensable manejo de SQL y Power BI. Manejo del idioma inglés a nivel intermedio. MS Office (Excel) a nivel intermedio. Deseable manejo de Azure Cloud. Deseable experiencia en venta digital.Beneficios Pertenecer a una empresa del Grupo Crédito. Beneficios corporativos. Oportunidades de desarrollo. Plan de salud EPS.
",,PE,Pacífico Seguros,,linkedin,data analyst
2023-01-25,"
        ExperienciaMínimo 1 años como analista de datos viendo procesos de calidad, análisis o gestión de datos.Mínimo 1 años en plataformas de visualización como Tableau o Power BI.Mínimo 1 años con manejo avanzado de lenguaje SQL y base de datos SQL Server u Oracle.Mínimo 1 año en equipos de gestión bajo metodología Ágil/Scrum.ConocimientosModelado de Datos e Inteligencia de NegociosBase de Datos: Oracle/SQL Server.Construcción y mantenimiento de ETL’s.Lenguajes de programación: Python o R.Técnicas estadísticas para análisis de datos.Servicios de Cloud AWS: RedShift, S3, Glue, AthenaServicios de Cloud GCP: Bigquery, Cloud StorageVisualización: Power BI, Tableau, Datastudio.Herramientas de perfilamiento (QA).Gobierno de Datos - Calidad de Datos.HabilidadesCapacidad de trabajar con grandes conjuntos de datos en una variedad de herramientas, incluyendo datos de comportamiento de aplicaciones internas, y herramientas estándar de la industria.Abstraer, resumir y presentar datos con claridad.Manejo de inglés a nivel intermedio.Funciones Realizar consultas en bases de datos (SQL) Mantención de procesos de bases de datos Entendimiento de fuentes internas y de ecosistema Falabella Análisis de comportamiento de cliente Cálculos de kpi Interacción con distintos equipos
",,PE,Vooxell,,linkedin,data analyst
2022-12-13,"
        Formación Bachiller o egresado en ingeniería de sistemas, computación, informática, estadística, industrial o carreras afines.Experiencia Mínimo 2 años como analista de datos viendo procesos de calidad, análisis o gestión de datos. Mínimo 2 años en plataformas de visualización como Tableau o Power BI. Mínimo 2 años con manejo avanzado de lenguaje SQL y base de datos SQL Server u Oracle. Mínimo 1 año en equipos de gestión bajo metodología Ágil/Scrum.Conocimientos Modelado de Datos e Inteligencia de Negocios Base de Datos: Oracle/SQL Server. Construcción y mantenimiento de ETL’s. Lenguajes de programación: Python o R. Técnicas estadísticas para análisis de datos. Servicios de Cloud AWS: RedShift, S3, Glue, Athena Servicios de Cloud GCP: Bigquery, Cloud Storage Visualización: Power BI, Tableau, Datastudio. Herramientas de perfilamiento (QA). Gobierno de Datos - Calidad de Datos.Competencias Comunicación. Capacidad de análisis. Pensamiento crítico. Enfoque en resultados. Trabajo en equipo.Habilidades Capacidad de trabajar con grandes conjuntos de datos en una variedad de herramientas, incluyendo datos de comportamiento de aplicaciones internas, y herramientas estándar de la industria. Abstraer, resumir y presentar datos con claridad. Manejo de inglés a nivel intermedio.Funciones Análisis funcional de requerimientos Elaboración de consultas SQL Elaboración de procesos para transformar los datos para que puedan ser analizados y utilizados. Mapeo de fuentes de información Diseño y elaboración de modelos de datos para el análisis Elaboración de reportes, informes y dashboards Análisis estadístico de datos Elaboración de documento de pruebas funcionales Validación de integridad de datos Presentación de resultados
",,PE,Vooxell,,linkedin,data analyst
2023-01-19,"
        Descripción del puesto¿Qué es el Trainee Data & Analytics?Es un programa que busca formar al mejor talento con una rotación dentro de los equipos del CoE D&A, a fin de que puedan aprender y aportar a las diferentes lineas de especialización.Serás responsable de un proyecto práctico asignado durante el programa.Participarás en el diseño y ejecución de las iniciativas habilitadas por Data y Analytics.Participarás en proyectos activos en los equipos de D&A.Apoyarás en la elaboración de la documentación D&A y presentación de resultados.RequisitosSer estudiante de 7mo, 8vo o 9no ciclo de las carreras de Ingeniería de Sistemas, Ciencias de Computación, Estadistica, Economía e Informática.Manejo de Excel a nivel Intermedio-Avanzado.Manejo de base de datos: consultas SQL a nivel intermedio.Conocimiento en herramientas de visualización de datos: Power BI o Tableau.Deseable conocimiento de herramientas de análisis como R o Python.Deseable conocimiento de técnicas análisis multivariantes (regresión, clasificación y segmentación).Deseable conocimiento de plataforma Cloud (Azure, AWS, Google Cloud).BeneficiosContarás con un mentor que te acompará durante el programa.Pertenecer a una empresa Credicorp.Beneficios corporativos.Oportunidades de desarrollo.Seguro FOLA.
",,PE,Pacífico Seguros,,linkedin,data analyst
2022-10-29,"
Diseñar, construir y mantener el sistema de procesamiento de datos para la toma de decisiones.Recopilar datos de inteligencia de negocios de los informes disponibles de la empresa.Diseñar e implementar modelos analíticos avanzados predictivos sobre la plataforma de big data de la compañía.Innovar a través de la adopción de nuevas técnicas y tecnologías para la gestión de datos.Elaboración de informes. RequisitosEgresado de las carreras universitarias de Ingeniería de Software, Ingeniería de Sistemas o afines.1 año de experiencia de implementación en soluciones de big data, analítica avanzada o afines como analista.Conocimientos en Base de Datos Oracle SQL, MySQL y PL/SQL a nivel intermedio.Conocimientos de base de datos relacional y No Relacional (Elastic Search, Cassandra, Mongo DB)Conocimiento básico en Linux (deseable)Nivel de Inglés Intermedio-Avanzado (indispensable). BeneficiosSalario acorde al mercado.Bonos trimestrales y anuales según desempeño.EPS cubierta al 60%Agradable clima laboral.Planilla Inmediata.Línea de carrera - (Career Path)Somos una empresa de telecomunicaciones que llegó al Perú para brindar servicios de telefonía, Internet y venta de equipos móviles. Bitel es el nombre comercial de Viettel Perú S.A.C. que forma parte de Viettel Group, una compañía transnacional que opera en ocho países del mundo.Sé parte de nuestra comunidad oficialFacebook oficial facebook.com/bitelperuYoutube oficial www.youtube.com/user/BitelPeruTwitter oficial twitter.com/bitelperu - @bitelperuInstagram oficial instagram.com/bitel_peru/ - bitel_peru
      ",,PE,Bitel Perú,,linkedin,data analyst
2022-12-31,"
        RequisitosFormaciónBachiller o egresado en ingeniería de sistemas, computación, informática, estadística, industrial o carreras afines.ExperienciaMínimo 2 años como analista de datos viendo procesos de calidad, análisis o gestión de datos.Mínimo 2 años en plataformas de visualización como Tableau (Indispensable)Mínimo 2 años con manejo avanzado de lenguaje SQL y base de datos SQL Server u Oracle.Mínimo 1 año en equipos de gestión bajo metodología Ágil/Scrum.ConocimientosModelado de Datos e Inteligencia de NegociosBase de Datos: Oracle/SQL Server.Construcción y mantenimiento de ETL’s.Lenguajes de programación: Python o R.Técnicas estadísticas para análisis de datos.Servicios de Cloud AWS: RedShift, S3, Glue, AthenaServicios de Cloud GCP: Bigquery, Cloud StorageVisualización: Power BI, Tableau, Datastudio.Herramientas de perfilamiento (QA).Gobierno de Datos - Calidad de Datos.HabilidadesCapacidad de trabajar con grandes conjuntos de datos en una variedad de herramientas, incluyendo datos de comportamiento de aplicaciones internas, y herramientas estándar de la industria.Abstraer, resumir y presentar datos con claridad.Manejo de inglés a nivel intermedio.FuncionesAnálisis funcional de requerimientosElaboración de consultas SQLElaboración de procesos para transformar los datos para que puedan ser analizados y utilizados.Mapeo de fuentes de informaciónDiseño y elaboración de modelos de datos para el análisisElaboración de reportes, informes y dashboardsAnálisis estadístico de datosElaboración de documento de pruebas funcionalesValidación de integridad de datosPresentación de resultados
",,PE,Vooxell,,linkedin,data analyst
2022-12-03,"
Funciones:Diseñar, construir y mantener el sistema de procesamiento de datos para la toma de decisiones.Recopilar datos de inteligencia de negocios de los informes disponibles de la empresa.Diseñar e implementar modelos analíticos avanzados predictivos sobre la plataforma de big data de la compañía.Innovar a través de la adopción de nuevas técnicas y tecnologías para la gestión de datos.Elaboración de informes.Requisitos:Egresado de las carreras universitarias de Ingeniería de Software, Ingeniería de Sistemas o afines.1 año de experiencia de implementación en soluciones de big data, analítica avanzada o afines como analista.Conocimientos en Base de Datos: Oracle SQL, MySQL y PL/SQL a nivel intermedio.Conocimientos de base de datos relacional y No Relacional (Elastic Search, Cassandra, Mongo DB)Conocimiento básico en Linux (deseable)Nivel de Inglés Intermedio-Avanzado (indispensable).Beneficios:Salario acorde al mercado.Bonos trimestrales y anuales según desempeño.EPS cubierta al 60%Agradable clima laboral.Planilla Inmediata.Línea de carrera - (Career Path)
      ",,PE,Bitel Perú,,linkedin,data analyst
