,Salario,Empresa,Modalidad,PlataformasEmpleo,Fecha,PuestoTrabajo,Pais,idPais,Continente,herramientas
0,2495.0,Amaris,presencial,glassdoor,2019-10-29,data analyst,Belgium,BE,Western Europe,['r']
1,2544.0,PYCO Group,presencial,glassdoor,2019-11-01,data analyst,Belgium,BE,Western Europe,"['sql', 'tableau']"
2,2733.0,Unique,presencial,glassdoor,2019-11-06,data analyst,Belgium,BE,Western Europe,['excel']
3,7543.0,VOO,presencial,glassdoor,2019-10-29,data analyst,Belgium,BE,Western Europe,"['python', 'sql', 'tableau']"
4,7748.0,"Stubbe, Lisart & Partners",presencial,glassdoor,2019-10-15,data analyst,Belgium,BE,Western Europe,[]
5,12554.0,BNP Paribas,presencial,glassdoor,2019-11-05,data analyst,Belgium,BE,Western Europe,[]
6,12631.0,Institutional Shareholder Services,presencial,glassdoor,2019-10-21,data analyst,Belgium,BE,Western Europe,[]
7,12679.0,Bimona,presencial,glassdoor,2019-11-04,data analyst,Belgium,BE,Western Europe,['sql']
8,12855.0,Safir Consulting,presencial,glassdoor,2019-11-01,data analyst,Belgium,BE,Western Europe,[]
9,17630.0,EyeTech Solutions,presencial,glassdoor,2019-11-07,data analyst,Belgium,BE,Western Europe,[]
10,17637.0,Mastercard,presencial,glassdoor,2019-10-17,data analyst,Belgium,BE,Western Europe,[]
11,17778.0,Unique,presencial,glassdoor,2019-11-08,data analyst,Belgium,BE,Western Europe,[]
12,31031.0,Xplore Group,presencial,glassdoor,2019-11-01,data analyst,Belgium,BE,Western Europe,[]
13,31061.0,APROPLAN,presencial,glassdoor,2019-11-04,data analyst,Belgium,BE,Western Europe,[]
14,31309.0,EyeTech Solutions,presencial,glassdoor,2019-11-01,data analyst,Belgium,BE,Western Europe,[]
15,41770.0,Unique,presencial,glassdoor,2019-10-15,data analyst,Belgium,BE,Western Europe,[]
16,41792.0,D Network Worldwide,presencial,glassdoor,2019-10-18,data analyst,Belgium,BE,Western Europe,[]
17,42079.0,Luminus,presencial,glassdoor,2019-10-28,data analyst,Belgium,BE,Western Europe,[]
18,87333.0,IT Talent,presencial,glassdoor,2019-11-08,data analyst,Belgium,BE,Western Europe,[]
19,87512.0,Promotora Industrial GIM,presencial,glassdoor,2019-10-29,data analyst,Belgium,BE,Western Europe,[]
20,87714.0,Visser & Van Baars,presencial,glassdoor,2019-11-05,data analyst,Belgium,BE,Western Europe,[]
21,3382.0,Milcobel,presencial,glassdoor,2019-10-17,data analyst,Belgium,BE,Western Europe,[]
22,3485.0,Hays,presencial,glassdoor,2019-11-06,data analyst,Belgium,BE,Western Europe,[]
23,3486.0,Konvert Interim,presencial,glassdoor,2019-11-01,data analyst,Belgium,BE,Western Europe,[]
24,3505.0,Salt,presencial,glassdoor,2019-10-21,data analyst,Belgium,BE,Western Europe,[]
25,8432.0,Jan De Nul Group,presencial,glassdoor,2019-10-18,data analyst,Belgium,BE,Western Europe,[]
26,8489.0,SIRE,presencial,glassdoor,2019-11-05,data analyst,Belgium,BE,Western Europe,[]
27,8515.0,Altran Group,presencial,glassdoor,2019-11-07,data analyst,Belgium,BE,Western Europe,[]
28,8530.0,EyeTech Solutions,presencial,glassdoor,2019-10-16,data analyst,Belgium,BE,Western Europe,[]
